frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
104,612469.065270,2026-09-06T20:00:08.143059+00:00,51.664,91.081,23.878,91.356,60.925,255
105,612469.170542,2026-09-06T20:00:08.247094+00:00,51.770,91.308,23.955,91.292,61.101,255
106,612469.272480,2026-09-06T20:00:08.349168+00:00,51.553,90.838,23.809,91.372,60.819,255
107,612469.376618,2026-09-06T20:00:08.454090+00:00,51.970,91.718,24.048,91.494,61.262,255
108,612469.479142,2026-09-06T20:00:08.557570+00:00,51.848,91.484,23.964,91.471,61.108,255
109,612469.584511,2026-09-06T20:00:08.663832+00:00,51.288,90.275,23.730,90.930,60.632,255
110,612469.692640,2026-09-06T20:00:08.771120+00:00,51.663,91.087,23.879,91.322,61.026,255
111,612469.796003,2026-09-06T20:00:08.873587+00:00,51.160,90.012,23.664,90.837,60.552,255
112,612469.900473,2026-09-06T20:00:08.980056+00:00,51.408,90.566,23.722,91.265,60.763,255
113,612470.006874,2026-09-06T20:00:09.084511+00:00,52.421,92.609,24.275,91.945,61.792,255
114,612470.111690,2026-09-06T20:00:09.190081+00:00,52.169,92.104,24.123,91.840,61.431,255
115,612470.216874,2026-09-06T20:00:09.295510+00:00,52.269,92.362,24.126,92.027,61.468,255
116,612470.322567,2026-09-06T20:00:09.400483+00:00,52.314,92.414,24.216,91.815,61.579,255
117,612470.425761,2026-09-06T20:00:09.504368+00:00,52.137,92.068,24.117,91.677,61.433,255
118,612470.531887,2026-09-06T20:00:09.610115+00:00,51.331,90.369,23.747,90.975,60.625,255
119,612470.635824,2026-09-06T20:00:09.714375+00:00,51.835,91.458,23.943,91.527,61.089,255
120,612470.741033,2026-09-06T20:00:09.821142+00:00,50.881,89.404,23.536,90.643,60.129,255
121,612470.849274,2026-09-06T20:00:09.926977+00:00,51.599,90.842,23.954,91.024,60.904,255
122,612470.952754,2026-09-06T20:00:10.030178+00:00,51.671,91.118,23.860,91.409,60.889,255
123,612471.057710,2026-09-06T20:00:10.135634+00:00,50.509,88.682,23.341,90.280,59.742,255
124,612471.164375,2026-09-06T20:00:10.243030+00:00,50.900,89.441,23.571,90.538,60.171,255
125,612471.268090,2026-09-06T20:00:10.346945+00:00,51.314,90.375,23.683,91.140,60.521,255
126,612471.374022,2026-09-06T20:00:10.452118+00:00,51.111,89.973,23.574,90.974,60.299,255
