protocol,modality,model,threshold,rule_windows,rule_hits,positive_detected,positive_runs,false_alerts,control_runs,selected
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.425,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.45,5,5,1,2,0,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,3,3,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,4,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,5,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.475,5,5,1,2,0,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,3,3,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,4,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,5,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.5,5,5,1,2,0,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,3,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,3,3,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,4,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,4,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,5,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,5,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.525,5,5,1,2,0,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,3,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,3,3,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,4,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,4,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,5,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,5,4,1,2,1,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.55,5,5,1,2,0,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.575,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.575,2,1,2,2,2,3,False
